,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
51,McLean et al.,"From ""Duck Factory"" to ""Fish Factory"": Climate induced changes in vertebrate communities of prairie pothole wetlands and small lakes",2016,Wetlands,10.1007/s13157-016-0766-3,documented,"1966-1976, 2012-2013",1971,"Prairie pothole wetlands, North Dakota",North America,United States,Upper Missouri; Middle Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,wetland,lentic,precipitation,Iowa Darter (Etheostoma exile),"Tiger Salamander, Ducks",distributional,presence,increase,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,positive (+),No formal management recommendation
52,McLean et al.,"From ""Duck Factory"" to ""Fish Factory"": Climate induced changes in vertebrate communities of prairie pothole wetlands and small lakes",2016,Wetlands,10.1007/s13157-016-0766-3,documented,"1966-1976, 2012-2013",1971,"Prairie pothole wetlands, North Dakota",North America,United States,Upper Missouri; Middle Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,wetland,lentic,precipitation,Yellow Perch (Perca flavescens),"Tiger Salamander, Ducks",distributional,presence,increase,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
53,Tillotson et al.,Beyond correlation in the detection of climate change impacts: testing a mechanistic hypothesis for climatic influence on sockeye salmon (Oncorhynchus nerka) productivity,2016,PLOS ONE,10.1371/journal.pone.0154356,documented,1956-2009,1982,"Kvichak River, Southwest Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,demographic,growth rate; abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,mixed effects (+/-),No formal management recommendation
54,Tillotson et al.,Beyond correlation in the detection of climate change impacts: testing a mechanistic hypothesis for climatic influence on sockeye salmon (Oncorhynchus nerka) productivity,2016,PLOS ONE,10.1371/journal.pone.0154356,documented,1956-2009,1982,"Kvichak River, Southwest Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,phenological,migration date,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
55,Mitro,"Brook Trout, Brown Trout, and Ectoparasitic Copepods Salmincola edwardsii: Species Interactions as a Proximate Cause of Brook Trout Loss Under Changing Environmental Conditions",2016,Transactions of the American Fisheries Society,10.1080/00028487.2016.1219676,documented,2009-2014,2011,"Ash Creek, Wisconsin",North America,United States,Upper Mississippi,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Brook Trout (Salvelinus fontinalis),Brown Trout (Salmo trutta),demographic,recruitment,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
56,Yasumiishi et al.,"Trends and Factors Influencing the Length, Compensatory Growth, and Size-Selective Mortality of Juvenile Bristol Bay, Alaska, Sockeye Salmon at Sea",2016,Marine and Coastal Fisheries,10.1080/19425120.2016.1167793,documented,1962-2007,1984,"Rivers near Bristol Bay, Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),No formal management recommendation
57,Al-Chokhachy et al.,Are brown trout replacing or displacing bull trout populations in a changing climate?,2016,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2015-0293,documented,1982-2013,1997,western Montana,North America,United States,Columbia Glaciated; Columbia Unglaciated; Upper Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,temperature,Bull Trout (Salvelinus confluentus),Brown Trout (Salmo trutta),demographic,population growth rate and abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Restore connectivity; Restore aquatic and associated terrestrial habitats; Manage flows
58,Orsi et al.,Forecasting pink salmon production in southeast Alaska using ecosystem indicators in times of climate change,2016,North Pacific Anadromous Fish Commission,http://www.npafc.org/new/publications/Bulletin/6/orsi_483-499.pdf,documented,2004-2014 data used to build model of pink salmon harvest,2009,"Icy Strait, Southeast Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,temperature,Pink Salmon (Oncorhynchus gorbuscha),NA,demographic,harvest (millions of fish),variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,mixed effects (+/-),Conduct research and/or monitoring
59,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Alaska Blackfish (Dallia pectoralis),NA,demographic,abundance,increase,cool,Esocidae,mainly animals (troph. 2.8 and up),variable,guarders,nesters,positive (+),No formal management recommendation
60,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,European Whitefish (Coregonus lavaretus),NA,demographic,abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
61,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Fish Assemblage,"Sockeye salmon (Oncorhynchus nerka), Sculpin spp. (Cottus spp.), Pink Salmon (Oncorhynchus gorbuscha), Arctic Grayling (Oncorhynchus gorbuscha)",assemblage dynamics,community composition,variable,"cold, cool",Fish Assemblage,NA,NA,NA,NA,unknown,No formal management recommendation
62,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Ninespine Stickleback (Pungitius pungitius),NA,demographic,abundance,increase,cold,Gasterosteidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
63,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Sculpin (Cottus spp.),NA,demographic,abundance,decrease,cold,Cottidae,mainly animals (troph. 2.8 and up),browsing on substrate,guarders,nesters,negative (-),No formal management recommendation
64,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Sockeye Salmon (Oncorhynchus nerka),Sockeye salmon (Oncorhynchus nerka),demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),No formal management recommendation
65,Hovel et al.,Within-lake habitat heterogeneity mediates community response to warming trends,2017,Ecology,10.1002/ecy.1944,documented,1963-2014,1988,"Lake Aleknagik, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Three-spined Stickleback (Gasterosteus aculeatus),NA,demographic,abundance,increase,cool,Gasterosteidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
66,Hovel et al.,"Climate change alters the reproductive phenology and investment of a lacustrine fish, the three-spine stickleback",2017,Global Change Biology,10.1111/gcb.13531,documented,1963-2015,1989,"Lake Aleknagik, Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Three-spined Stickleback (Gasterosteus aculeatus),NA,demographic,breeding frequency,increase,cool,Gasterosteidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
67,Kovach et al.,"Climate, invasive species, and land use drive population dynamics of a cold-water specialist",2017,Journal of Applied Ecology,10.1111/1365-2664.12766,documented,2000-2014,2007,"major watersheds in western Montana (United States of America), northern Idaho (United States of America), and southern British Columbia",North America,"Canada, United States",Upper Saskatchewan; Columbia Glaciated; Columbia Unglaciated; Upper Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,temperature,Bull Trout (Salvelinus confluentus),NA,demographic,population dynamics (abundance; variability; growth rate),decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Minimize other anthropogenic stressors; Restore aquatic and associated terrestrial habitats
68,Carey et al.,Migration trends of sockeye salmon at the northern edge of their distribution,2017,Transactions of the American Fisheries Society,10.1080/00028487.2017.1302992,documented,2003-2014,2008,"Pilgrim River, Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,phenological,migration run timing,later migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Conduct research and/or monitoring
69,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Bigmouth Shiner (Notropis dorsalis),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
70,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Bigmouth Shiner (Notropis dorsalis),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
71,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Bigmouth Shiner (Notropis dorsalis),NA,distributional,range shifts,no change,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
72,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Black Bullhead (Ameiurus melas),NA,distributional,range shifts,decrease,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),Conduct research and/or monitoring
73,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Black Bullhead (Ameiurus melas),NA,distributional,range shifts,decrease,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),Conduct research and/or monitoring
74,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Black Bullhead (Ameiurus melas),NA,distributional,range shifts,no change,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,unknown,Conduct research and/or monitoring
75,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Brown Trout (Salmo trutta),NA,distributional,range shifts,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring
76,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Brown Trout (Salmo trutta),NA,distributional,range shifts,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring
77,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Brown Trout (Salmo trutta),NA,distributional,range shifts,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),Conduct research and/or monitoring
78,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Central Stoneroller (Campostoma anomalum),NA,distributional,range shifts,no change,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),browsing on substrate,guarders,nesters,unknown,Conduct research and/or monitoring
79,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Central Stoneroller (Campostoma anomalum),NA,distributional,range shifts,increase,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),browsing on substrate,guarders,nesters,positive (+),Conduct research and/or monitoring
80,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Central Stoneroller (Campostoma anomalum),NA,distributional,range shifts,increase,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),browsing on substrate,guarders,nesters,positive (+),Conduct research and/or monitoring
81,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Creek Chub (Semotilus atromaculatus),NA,distributional,range shifts,no change,cool,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring
82,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Creek Chub (Semotilus atromaculatus),NA,distributional,range shifts,no change,cool,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,Conduct research and/or monitoring
83,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Creek Chub (Semotilus atromaculatus),NA,distributional,range shifts,no change,cool,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring
84,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fathead Minnow (Pimephales promelas),NA,distributional,range shifts,no change,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),variable,guarders,nesters,no effect,Conduct research and/or monitoring
85,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fathead Minnow (Pimephales promelas),NA,distributional,range shifts,no change,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),variable,guarders,nesters,unknown,Conduct research and/or monitoring
86,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fathead Minnow (Pimephales promelas),NA,distributional,range shifts,no change,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),variable,guarders,nesters,no effect,Conduct research and/or monitoring
87,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Green Sunfish (Lepomis cyanellus),NA,distributional,range shifts,no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Conduct research and/or monitoring
88,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Green Sunfish (Lepomis cyanellus),NA,distributional,range shifts,no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Conduct research and/or monitoring
89,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Green Sunfish (Lepomis cyanellus),NA,distributional,range shifts,decrease,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),Conduct research and/or monitoring
90,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Iowa Darter (Etheostoma exile),NA,distributional,range shifts,no change,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,unknown,Conduct research and/or monitoring
91,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Iowa Darter (Etheostoma exile),NA,distributional,range shifts,increase,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,positive (+),Conduct research and/or monitoring
92,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Iowa Darter (Etheostoma exile),NA,distributional,range shifts,no change,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,unknown,Conduct research and/or monitoring
93,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Johnny Darter (Etheostoma nigrum),NA,distributional,range shifts,no change,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,no effect,Conduct research and/or monitoring
94,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Johnny Darter (Etheostoma nigrum),NA,distributional,range shifts,no change,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,unknown,Conduct research and/or monitoring
95,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Johnny Darter (Etheostoma nigrum),NA,distributional,range shifts,no change,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,no effect,Conduct research and/or monitoring
96,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Mountain Whitefish (Prosopium williamsoni),NA,distributional,range shifts,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
97,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Mountain Whitefish (Prosopium williamsoni),NA,distributional,range shifts,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
98,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Mountain Whitefish (Prosopium williamsoni),NA,distributional,range shifts,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
99,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Northern Plains Killifish (Fundulus kansae),NA,distributional,range shifts,no change,warm,Fundulidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
100,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Northern Plains Killifish (Fundulus kansae),NA,distributional,range shifts,decrease,warm,Fundulidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
101,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Northern Plains Killifish (Fundulus kansae),NA,distributional,range shifts,no change,warm,Fundulidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
102,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Orangespotted Sunfish (Lepomis humilis),NA,distributional,range shifts,no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Conduct research and/or monitoring
